branch_id,brand,branch,bill_no,ref_no,quanty,price_paid,raw_price,cost,posted,emp_no,del_code,prc_adj,two4one,disc_no,prc_lvl,prc_lvl0,iscoupon,item_adj,vat_adj,disc_adj,pricemult,invmult,gd_no,send_time,adj_no,refundflag,cou_rec,coupitem,hash_stat,ord_date,ord_time,spec_inst
11,Manam,Manam Greenhills,15966,MNM0000002,1,225.0,200.89,200.89,False,101112,0,False,False,nan,0,0,False,0,-24.11,0.0,1,1,0,10:55:07.55,0,False,0,False,0,2025-08-01,10:55:07.55,0.0
11,Manam,Manam Greenhills,15966,MNM0000291,1,268.0,239.29,239.29,False,101112,0,False,False,nan,0,0,False,0,-28.71,0.0,1,1,0,10:55:07.55,0,False,0,False,0,2025-08-01,10:55:07.55,0.0
11,Manam,Manam Greenhills,15966,MNMMOD0006,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:55:07.55,0,False,0,False,0,2025-08-01,10:55:07.55,0.0
11,Manam,Manam Greenhills,15966,MNMMOD0009,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:55:07.55,0,False,0,False,0,2025-08-01,10:55:07.55,0.0
11,Manam,Manam Greenhills,15967,MNM0000067,1,191.96429,191.96,191.96,False,107629,0,False,False,SNR-SOLO,0,0,False,0,0.0,38.39,1,1,0,10:53:22.723,0,False,0,False,0,2025-08-01,10:53:22.723,0.0
11,Manam,Manam Greenhills,15967,MNM0000073,1,227.67857,227.68,227.68,False,107629,0,False,False,SNR-SOLO,0,0,False,0,0.0,45.54,1,1,0,10:53:22.723,0,False,0,False,0,2025-08-01,10:53:22.723,0.0
11,Manam,Manam Greenhills,15968,MNM0000304,1,1005.0,897.32,897.32,False,101112,0,False,False,nan,0,0,False,0,-107.68,0.0,1,1,0,11:02:38.617,0,False,0,False,0,2025-08-01,11:02:38.617,0.0
11,Manam,Manam Greenhills,15969,MNM0000074,1,435.0,388.39,388.39,False,101112,0,False,False,nan,0,0,False,0,-46.61,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNM0000280,1,248.0,221.43,221.43,False,101112,0,False,False,nan,0,0,False,0,-26.57,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNMMOD0006,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNM0000278,1,288.0,257.14,257.14,False,101112,0,False,False,nan,0,0,False,0,-30.86,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNMMOD0006,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15969,MNMMOD0008,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:40:21.26,0,False,0,False,0,2025-08-01,10:40:21.26,0.0
11,Manam,Manam Greenhills,15970,MNM0000086,1,550.0,491.07,491.07,False,101112,0,False,False,nan,0,0,False,0,-58.93,0.0,1,1,0,10:47:22.38,0,False,0,False,0,2025-08-01,10:47:22.38,0.0
11,Manam,Manam Greenhills,15970,MNM0000304,1,1005.0,897.32,897.32,False,101112,0,False,False,nan,0,0,False,0,-107.68,0.0,1,1,0,10:47:22.38,0,False,0,False,0,2025-08-01,10:47:22.38,0.0
11,Manam,Manam Greenhills,15970,MNM0000306,1,690.0,616.07,616.07,False,101112,0,False,False,nan,0,0,False,0,-73.93,0.0,1,1,0,10:47:22.38,0,False,0,False,0,2025-08-01,10:47:22.38,0.0
11,Manam,Manam Greenhills,15971,MNM0000086,2,550.0,491.07,982.14,False,101112,0,False,False,nan,0,0,False,0,-117.85,0.0,1,1,0,10:49:07.827,0,False,0,False,0,2025-08-01,10:49:07.827,0.0
11,Manam,Manam Greenhills,15971,MNM0000310,1,1065.0,950.89,950.89,False,101112,0,False,False,nan,0,0,False,0,-114.11,0.0,1,1,0,10:49:07.827,0,False,0,False,0,2025-08-01,10:49:07.827,0.0
11,Manam,Manam Greenhills,15972,MNM0000196,1,105.0,93.75,93.75,False,101112,0,False,False,nan,0,0,False,0,-11.25,0.0,1,1,0,11:05:10.807,0,False,0,False,0,2025-08-01,11:05:10.807,0.0
11,Manam,Manam Greenhills,15972,MNM0000146,1,545.0,486.61,486.61,False,101112,0,False,False,nan,0,0,False,0,-58.39,0.0,1,1,0,11:05:10.807,0,False,0,False,0,2025-08-01,11:05:10.807,0.0
11,Manam,Manam Greenhills,15973,MNM0000130,1,295.0,263.39,263.39,False,101112,0,False,False,nan,0,0,False,0,-31.61,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000003,1,325.0,290.18,290.18,False,101112,0,False,False,nan,0,0,False,0,-34.82,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNMMOD0002,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000003,1,325.0,290.18,290.18,False,101112,0,False,False,nan,0,0,False,0,-34.82,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNMMOD0002,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000003,1,325.0,290.18,290.18,False,101112,0,False,False,nan,0,0,False,0,-34.82,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNMMOD0002,1,0.0,0.0,0.0,False,101112,0,False,False,nan,0,0,False,0,0.0,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000040,1,140.0,125.0,125.0,False,101112,0,False,False,nan,0,0,False,0,-15.0,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000184,1,255.0,227.68,227.68,False,101112,0,False,False,nan,0,0,False,0,-27.32,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000157,1,295.0,263.39,263.39,False,101112,0,False,False,nan,0,0,False,0,-31.61,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000100,1,255.0,227.68,227.68,False,101112,0,False,False,nan,0,0,False,0,-27.32,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
11,Manam,Manam Greenhills,15973,MNM0000253,1,175.0,156.25,156.25,False,101112,0,False,False,nan,0,0,False,0,-18.75,0.0,1,1,0,10:26:36.33,0,False,0,False,0,2025-08-01,10:26:36.33,0.0
